tienda,entrada_friday   ,entrada_monday   ,entrada_saturday ,entrada_sunday   ,entrada_thursday ,entrada_tuesday  ,entrada_wednesday,salida_friday   ,salida_monday   ,salida_saturday ,salida_sunday   ,salida_thursday ,salida_tuesday  ,salida_wednesday
82,677929.02,677288.78,1009830.16,640383.1699999999,663088.77,612415.5,579169.25,173654.2,157666.0,241502.25,114283.5,183849.2,180299.5,214296.8
84,546366.72,512627.83999999997,764245.29,430758.51,473401.35,472199.73,507412.85,145344.6,104283.5,88408.5,75972.5,99164.2,71720.5,71547.6
86,522836.26,586970.05,671731.12,735694.79,531344.8300000001,520540.65,593084.74,122082.0,166157.5,87085.0,168549.75,75996.0,110060.0,125684.6
144,257594.75,259831.84666666668,307154.6,272943.31,260612.16999999998,254814.41999999998,298054.74,56544.8,63140.75,64629.75,62432.75,58912.6,61775.25,57211.4
299,309542.3,361847.49,470753.31,263149.82333333336,322127.99,338530.55,299750.11,33942.6,83177.5,71114.75,58541.25,61777.4,97645.5,64852.4
419,264350.68,395741.68,386152.77,293883.32,249694.3,297581.06,304085.53,57149.8,95202.25,48579.25,50364.75,70038.8,72307.75,44170.0
462,152647.91,177456.69,195149.32,133879.89,154093.03,155996.87,176115.66,30651.6,43215.75,31034.0,29942.75,56853.6,68626.25,39287.0
503,75803.77,69990.67333333334,112997.9,64973.0,61735.4,89196.84,70171.26333333332,9839.67,9482.5,3304.33,4660.33,11781.33,1077.5,4057.0
511,140852.07,178541.77,171408.82,115129.02,157088.03,194317.61,179866.29333333333,33553.2,67307.0,74201.0,27643.67,64518.4,55000.25,31494.8
512,109599.20333333332,147136.85,145975.62,105637.09333333334,112515.71,109682.08,112860.28,32829.4,19050.25,30752.75,25451.5,18085.2,12714.5,19223.4
712,216526.27,247194.53,252997.07666666666,190617.39,189023.49,206491.78,217457.96999999997,32857.6,46503.75,50786.0,29233.5,21593.6,19921.25,49961.2
758,123533.15999999999,141614.54,139154.23,87321.31,126375.92333333332,126087.79000000001,141806.96333333332,22197.0,34054.5,40516.0,19999.33,14102.6,14072.25,23757.4
822,298938.73,263780.12,372994.88,259986.37,212021.27,241754.2366666667,218783.13,55307.6,16528.75,77452.5,30946.25,39360.2,44286.25,43514.6
846,340117.46,460688.82,500587.27,411718.76,376158.6,389101.32,351065.03,85828.8,89762.75,103297.25,92180.75,73333.6,92067.0,93100.0
951,119829.23999999999,122939.14333333333,176193.49333333335,136954.7,103927.10666666667,141594.71,151732.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,308847.08999999997,464218.47,436776.27,392527.5333333333,343796.58999999997,358801.43,393444.30000000005,57014.2,88293.25,82861.75,105750.25,72151.6,93293.5,96530.8
1050,169919.47,182425.77000000002,210152.46,127840.58,173128.05,241506.99,186829.11333333334,54908.4,72545.0,37687.75,16210.0,42674.0,48976.75,51396.6
1159,310109.1,391167.74,359474.45999999996,250764.66,283963.46,319024.54,264184.02,64552.0,108982.0,93400.75,44329.5,69635.0,70944.5,65639.6
1389,267870.51,372202.43,361629.5066666666,309765.81,274832.1066666667,287052.29,291421.70999999996,35520.4,61799.5,20753.0,27017.75,73311.8,50260.25,81497.2
6548,131584.75333333333,165880.45,168179.77666666667,149278.91,131828.52000000002,154015.53,158938.84333333332,27179.4,17527.33,19847.75,17697.25,38027.2,22197.5,25640.0
7824,180479.11,227763.96,254977.16,238115.68,205100.18,187901.65666666665,182254.72333333333,23481.6,24007.0,24395.5,11292.0,17533.2,20925.25,18688.2
